alpha,delta,u,g,r,i,z,redshift,class
134.8344427850505,3.434721324519245,18.802457714087378,18.17707594704647,17.755445401005538,17.65464294802361,17.406841153033046,-0.0002559058109776532,STAR
342.2571503075698,-3.7472620266484284,16.62757428351292,15.846712981155877,15.505862050429336,15.470995079739424,15.21905367037095,0.0006134910839665997,STAR
263.51781905210584,-85.38442815484157,15.470394419269795,14.86914057720073,14.46660979930391,14.123348029100521,14.032718817788309,-6.532832291355936e-05,STAR
215.5170543109332,-28.575391027291857,17.280568492448392,16.50674403218723,16.112435699365598,15.972445696961909,15.720588893991566,-0.0005304190744328153,STAR
56.16671055927715,-21.564788618545734,19.286029160229216,18.477365191212954,18.104815110222074,17.796692766845364,17.697337395851743,3.098948749489195e-05,STAR
56.158027321032954,-18.211899438557907,20.504160892622725,19.64629768532676,19.38323092030983,19.22154094653149,18.85410221352978,-0.000371804344076964,STAR
20.910100380551807,14.43102646091981,17.262590766620164,16.520589634161354,16.099495427806037,15.97662474553882,15.981712717026943,-0.0005143819094859305,STAR
311.82341247897665,6.048458410838123,20.41869469134882,19.744637411563346,19.299621320120043,19.10522291552332,19.19430053337926,0.0005361844207161392,STAR
216.40140422755516,19.422916702820032,18.94526322023896,18.06814408470717,17.488027537181136,17.440861500877745,17.332336653407737,-0.0006146094459775134,STAR
254.90612800657638,47.67898707758309,20.04624742615023,19.19758490650435,18.78306078091071,18.457408214599415,18.568257755526446,0.00046783599697110945,STAR
7.410417946488881,56.33743296889682,17.451401264173924,16.61925018607653,16.2284783899374,15.91494988072499,15.933857349385226,0.00019899410292226316,STAR
349.16754677831796,39.26215372076899,19.90359972553839,18.916942402785136,18.617731229110635,18.40496049602212,18.341439628858442,-0.00014781077153334343,STAR
299.6793506881518,81.99426527188825,19.989197887709217,19.386117056079954,19.113890797682703,18.790621965220634,18.731598405578257,-3.470230021957774e-05,STAR
76.44207984417942,-86.7181351182549,18.379264862614743,17.842075047405103,17.34795552835302,17.19418324410707,17.102526679781935,-9.37631201265288e-05,STAR
65.45698819455622,-54.759962576961705,19.15818660365671,18.375925618411348,18.148228036356468,17.83891306401876,17.92447501088723,0.00039883750219781353,STAR
66.02562354723618,-88.63868250393442,15.721273248494755,14.893520709041244,14.45011824534512,14.305735075418093,14.194545377217382,-0.0004950649689309191,STAR
109.52720746543358,26.545448547828542,19.308998718233322,18.657041934755366,18.07659617904062,17.836283761171927,17.80123140678149,0.00030658694724463844,STAR
188.91231538760562,71.64549881099765,18.042927783011177,17.222721227591048,16.976016617686668,16.818550688316517,16.637739050521947,0.0005813042653284138,STAR
155.50020671116167,-46.17318661626613,18.790966184583283,17.76462731622913,17.385591384445032,17.10351723958344,17.22019210924856,7.369916557764102e-05,STAR
104.8424904712951,76.8662180633352,15.469601335961128,14.837993695045395,14.33267837385794,14.148402008912836,14.054573748401655,-0.0007678692624790626,STAR
220.2670421000566,-79.15186974787905,15.627943830429878,14.707314850386151,14.321571442546178,14.078877834932984,14.18389084566363,-0.0004072998577312912,STAR
50.21778983473506,78.19848482499256,16.58945684936899,15.803325272069179,15.470819883721347,15.258505392484274,15.188362588640715,0.00038727386421314445,STAR
105.17207347267853,-26.707916296865804,15.65620316395045,14.89566783451489,14.612355536587136,14.27459480192282,14.09289497850604,0.00021313332031872015,STAR
131.890263585729,-71.74425087914102,17.21812028230817,16.400566852788195,15.973284564816266,15.725443909566103,15.633294947050109,0.00013115180966374296,STAR
164.18519431813294,-2.543083346461387,17.255482681918075,16.35024103701303,16.002581055326313,15.578115948059564,15.509269819249946,5.7328239376626e-06,STAR
282.6633461014849,-43.78021781030857,20.061762466721436,19.17176103014577,18.74449696594744,18.572040288882103,18.629146597907805,-0.00045235537413036627,STAR
71.88256157700951,-38.72287764685389,15.933838408470386,15.33548758823909,14.8301588551892,14.741514989538624,14.593220228341039,0.0006978556693034726,STAR
185.1243978289002,-34.68780631326842,15.981058427592234,15.161644914737078,14.876644553283393,14.662816782728145,14.830167054439164,0.00017318393014427848,STAR
